Species	Chemical Name	Freq-GHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-GHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	Linelist
CH3OHvt=0-2	Methanol	312.35735700	1.1E-5			9(3,6)-9(-3,7)E,vt=0	-12.81900		105.76500	CDMS
CH3OHvt=0-2	Methanol	312.44792900	1.2E-5			8(3,5)-8(-3,6)E,vt=0	-13.34230		91.24410	CDMS
CH3OHvt=0-2	Methanol	312.49979500	1.2E-5			7(3,4)-7(-3,5)E,vt=0	-13.94560		78.33670	CDMS
CH3OHvt=0-2	Methanol			313.20342800	5.0E-5	4(1,3)-5(2,4)--,vt=1	0.00000		231.72700	CDMS
CH3OHvt=0-2	Methanol	313.20345300	1.7E-5			4(1,3)-5(2,3)A,vt=1	-4.06610		231.72740	CDMS
CH3OHvt=0-2	Methanol	313.25076000	1.8E-5			18(-1,17)-17(-3,15)E,vt=0	-6.23480		280.02010	CDMS
CH3OHvt=0-2	Methanol	313.37044100	3.9E-5			17(3,15)-16(5,12)A,vt=1	-8.63080		510.96500	CDMS
CH3OHvt=0-2	Methanol	313.38144500	3.9E-5			17(3,14)-16(5,11)A,vt=1	-8.63110		510.96500	CDMS
CH3OHvt=0-2	Methanol	313.59676000	1.3E-5			7(-1,6)-6(-2,5)E,vt=0	-3.97040		49.34880	CDMS
CH3OHvt=0-2	Methanol	313.66474700	1.9E-5			4(-3,2)-5(-1,4)E,vt=0	-7.60280		38.83260	CDMS
CH3OHvt=0-2	Methanol	313.99900900	0.000154			14(2,13)-13(3,11),vt=1	0.00000		436.39200	CDMS
CH3OHvt=0-2	Methanol	313.99950600	2.6E-5			14(-2,12)-13(-3,10)E,vt=1	-5.22540		436.39220	CDMS
CH3OHvt=0-2	Methanol	314.35107000	1.0E-5			10(-0,10)-9(-1,8)E,vt=0	-3.68460		87.23860	CDMS
CH3OHvt=0-2	Methanol	314.85952800	1.0E-5			7(1,6)-7(0,7)A,vt=0	-3.09220		45.16400	CDMS
CH3OHvt=0-2	Methanol	315.26686100	1.3E-5			6(-2,5)-5(-1,4)E,vt=0	-3.61270		38.83260	CDMS
CH3OHvt=0-2	Methanol	315.78426300	4.1E-5			10(4,6)-9(1,8)E,vt=1	-7.83100		359.72800	CDMS
CH3OHvt=0-2	Methanol	315.90036600	0.000144			13(6,7)-14(5,10)++,vt=1	0.00000		461.14800	CDMS
CH3OHvt=0-2	Methanol	315.90036600	0.000144			13(6,7)-14(5,10)++,vt=1	0.00000		461.14800	CDMS
CH3OHvt=0-2	Methanol	315.90106100	2.1E-5			13(6,8)-14(5,10)A,vt=1	-4.58410		461.14800	CDMS
CH3OHvt=0-2	Methanol	315.90106100	2.1E-5			13(6,7)-14(5,9)A,vt=1	-4.58410		461.14800	CDMS
CH3OHvt=0-2	Methanol	316.64741300	1.7E-5			18(2,16)-18(-0,18)E,vt=0	-6.88640		283.73120	CDMS
CH3OHvt=0-2	Methanol	317.07119500	0.000104			5(-3,3)-6(-6,0)E,vt=2-vt=1	-11.59250		445.45790	CDMS
CH3OHvt=0-2	Methanol	317.08212100	1.1E-5			13(-3,11)-12(3,9)E,vt=0	-11.69190		169.40710	CDMS
CH3OHvt=0-2	Methanol	317.10303800	1.6E-5			8(5,4)-9(4,6)E,vt=0	-4.38900		133.68510	CDMS
CH3OHvt=0-2	Methanol	318.07237800	1.2E-5			5(2,3)-4(-2,3)E,vt=0	-9.30260		31.59610	CDMS
CH3OHvt=0-2	Methanol	318.31891900	1.0E-5			8(1,7)-8(0,8)A,vt=0	-3.05880		58.06230	CDMS
CH3OHvt=0-2	Methanol	318.45658200	1.8E-5			8(3,6)-9(1,9)A,vt=0	-9.70100		82.06770	CDMS
CH3OHvt=0-2	Methanol	318.52247600	1.8E-5			14(3,12)-15(0,15)A,vt=0	-9.11900		193.34380	CDMS
CH3OHvt=0-2	Methanol	319.31016900	1.5E-5			14(1,14)-13(-2,12)E,vt=0	-5.36940		162.36570	CDMS
CH3OHvt=0-2	Methanol	319.43286300	2.5E-5			25(1,25)-24(3,22)A,vt=0	-9.89770		518.13510	CDMS
CH3OHvt=0-2	Methanol	319.57255100	4.5E-5			5(-5,1)-6(-2,4)E,vt=1	-9.48600		311.73480	CDMS
CH3OHvt=0-2	Methanol	320.10876200	3.3E-5			10(4,6)-11(2,10)E,vt=1	-8.36690		359.58370	CDMS
CH3OHvt=0-2	Methanol	320.43560100	0.000168			18(2,16)-17(1,17)++,vt=1	0.00000		471.83300	CDMS
CH3OHvt=0-2	Methanol	320.43564300	3.1E-5			18(2,17)-17(1,17)A,vt=1	-4.10570		471.83250	CDMS
CH3OHvt=0-2	Methanol	320.44721200	2.3E-5			24(-4,20)-25(-2,24)E,vt=0	-7.73290		539.51460	CDMS
CH3OHvt=0-2	Methanol	321.12860100	0.000106			7(7,0)-7(4,3)A,vt=1-vt=2	-10.99630		472.10370	CDMS
CH3OHvt=0-2	Methanol	321.12860100	0.000106			7(7,1)-7(4,4)A,vt=1-vt=2	-10.99630		472.10370	CDMS
CH3OHvt=0-2	Methanol	321.20222100	0.000146			3(1,3)-4(3,1)A,vt=2	-12.24980		473.47120	CDMS
CH3OHvt=0-2	Methanol	321.37433500	0.000103			8(7,1)-8(4,4)A,vt=1-vt=2	-10.68250		484.96040	CDMS
CH3OHvt=0-2	Methanol	321.37433600	0.000103			8(7,2)-8(4,5)A,vt=1-vt=2	-10.68250		484.96040	CDMS
CH3OHvt=0-2	Methanol	321.65111100	0.0001			9(7,2)-9(4,5)A,vt=1-vt=2	-10.27550		499.42320	CDMS
CH3OHvt=0-2	Methanol	321.65111200	0.0001			9(7,3)-9(4,6)A,vt=1-vt=2	-10.27550		499.42320	CDMS
CH3OHvt=0-2	Methanol	321.76058300	2.6E-5			24(4,20)-25(1,25)A,vt=0	-8.51690		528.79020	CDMS
CH3OHvt=0-2	Methanol	321.95904300	9.9E-5			10(7,3)-10(4,6)A,vt=1-vt=2	-9.97040		515.49180	CDMS
CH3OHvt=0-2	Methanol	321.95904400	9.9E-5			10(7,4)-10(4,7)A,vt=1-vt=2	-9.97040		515.49180	CDMS
CH3OHvt=0-2	Methanol	322.23946200	1.0E-5			9(1,8)-9(0,9)A,vt=0	-3.03410		72.56990	CDMS
CH3OHvt=0-2	Methanol	322.29429100	0.000148			3(1,2)-4(3,2)A,vt=2	-12.24500		473.47120	CDMS
